OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO
5572;ZOOM;ACM-1;Soporte | Para montar camaras | grabadores de video ZOOM Handy son compatibles con todos los soportes y accesorios de cámara de acción de tres puntas.;Sonido Digital;>10;9719.11;0.21;0;0.45;17052.179;;https://todomusica.com.ar/18879-large_default/img.jpg;0;0;0;0;
5572;ZOOM;AC-2.;Pedalera | Para Guitarra Acustica | 16 Presets | Entrada ¼” | salida XLR balanceada y 2 salidas ¼” | Reverb | EQ de 3 bandas | Control Anti Feedback | Afinador | puerto USB;Pedales, Pedaleras;>10;322350.34;0.105;0;0.45;516485.829;0.2;https://todomusica.com.ar/17574-large_default/img.jpg; https://todomusica.com.ar/17575-large_default/img.jpg; https://todomusica.com.ar/17576-large_default/img.jpg; https://todomusica.com.ar/17577-large_default/img.jpg; https://todomusica.com.ar/17578-large_default/img.jpg;
5572;ZOOM;AIH-1;Audio Soporte | Para interface de audio serie U | permite conectar U-22/U-24/U-44 a cualquier soporte o poste de mic. standard. Holder;Sonido Digital;<10;46975.68;0.21;0;0.45;82418.835;;https://todomusica.com.ar/19728-large_default/img.jpg; https://todomusica.com.ar/19729-large_default/img.jpg; https://todomusica.com.ar/19730-large_default/img.jpg; https://todomusica.com.ar/19731-large_default/img.jpg;0;
5572;ZOOM;AMS-22;"Placa Interface | USB | 24 bits/ 96 kHz | 1 entrada XLR/TRS + 3,5 / Salidas TRS | Modo Streaming 
";Sonido Digital;<10;139307.18;0.105;0;0.45;223204.928;;https://todomusica.com.ar/28616-large_default/img.jpg; https://todomusica.com.ar/28617-large_default/img.jpg; https://todomusica.com.ar/28618-large_default/img.jpg; https://todomusica.com.ar/28619-large_default/img.jpg; https://todomusica.com.ar/28620-large_default/img.jpg;
5572;ZOOM;AMS-24;"Placa Interface | USB | 24 bits/ 96 kHz | 2 entradas XLR/TRS  / Salidas TRS | Modo Streaming 
";Sonido Digital;INGRESANDO;200861.52;0.105;0;0.45;321830.366;;https://todomusica.com.ar/28609-large_default/img.jpg; https://todomusica.com.ar/28610-large_default/img.jpg; https://todomusica.com.ar/28612-large_default/img.jpg; https://todomusica.com.ar/28613-large_default/img.jpg; https://todomusica.com.ar/28614-large_default/img.jpg;
5572;ZOOM;AMS-44;"Placa Interface | USB | 24 bits/ 96 kHz | 4 entradas XLR/TRS / Salidas TRS | Modo Streaming 
";Sonido Digital;INGRESANDO;281854.07;0.105;0;0.45;451600.682;;https://todomusica.com.ar/28621-large_default/img.jpg; https://todomusica.com.ar/28622-large_default/img.jpg; https://todomusica.com.ar/28623-large_default/img.jpg; https://todomusica.com.ar/28624-large_default/img.jpg; https://todomusica.com.ar/28625-large_default/img.jpg;
5572;ZOOM;APH-4e;"Pack accesorios | H4essential | Estuche - Cable USB - Paraviento  |   No incluye fuente de alimentacion 
";Sonido Digital;>10;55074.93;0.21;0;0.45;96628.967;;https://todomusica.com.ar/29124-large_default/img.jpg; https://todomusica.com.ar/29125-large_default/img.jpg;0;0;0;
5572;ZOOM;APH-4nPro;Accesorios para H4n Pro | Antivientos de pelo|  Cable Spliter | Cable atenuador 2.7m (-20dB) | Cable USB |;Sonido Digital;>10;50215.38;0.21;0;0.45;88102.883;;https://todomusica.com.ar/19431-large_default/img.jpg; https://todomusica.com.ar/25201-large_default/img.jpg;0;0;0;
5572;ZOOM;APH-5;Accesorios para H5 |  Controlador remoto RCH-5 con cable | Adaptador AC AD-17 tipo USB | Antivientos de pelo;Sonido Digital;>10;66413.89;0.21;0;0.45;116523.169;;https://todomusica.com.ar/19433-large_default/img.jpg; https://todomusica.com.ar/19434-large_default/img.jpg;0;0;0;
5572;ZOOM;A1 FOUR;Pedalera Multiefecto | Para Instr. Acusticos | 70 efect | Efec simultaneos 55 | USB MIDI | USB Micro-B;Pedales, Pedaleras;>10;213820.33;0.105;0;0.45;342593.625;;https://todomusica.com.ar/17525-large_default/img.jpg; https://todomusica.com.ar/17526-large_default/img.jpg; https://todomusica.com.ar/17527-large_default/img.jpg; https://todomusica.com.ar/20939-large_default/img.jpg;0;
5572;ZOOM;A1X FOUR;Pedalera Multiefecto | Para Instr. Acusticos | 70 efect | Efec simultaneos 55 | USB MIDI | USB Micro-B | Con pedal de expresion;Pedales, Pedaleras;INGRESANDO;236498.24;0.105;0;0.45;378929.307;;https://todomusica.com.ar/17528-large_default/img.jpg; https://todomusica.com.ar/17529-large_default/img.jpg; https://todomusica.com.ar/17530-large_default/img.jpg;0;0;
5572;ZOOM;B1 FOUR;Pedalera | Para Bajo | 60 efectos | Efec simultaneos 5 | USB MIDI | USB Micro-B | Loopera | Compatible Soft Guitar Lab Zoom;Pedales, Pedaleras;INGRESANDO;149026.29;0.105;0;0.45;238777.373;;https://todomusica.com.ar/17584-large_default/img.jpg; https://todomusica.com.ar/17585-large_default/img.jpg; https://todomusica.com.ar/17586-large_default/img.jpg; https://todomusica.com.ar/17587-large_default/img.jpg;0;
5572;ZOOM;B1X FOUR;Pedalera | Para Bajo | 60 efectos | Efec simultaneos 5 | USB MIDI | USB Micro-B | Loopera | Compatible Soft Guitar Lab Zoom | Con pedal de expresión;Pedales, Pedaleras;INGRESANDO;178183.61;0.105;0;0.45;285494.684;;https://todomusica.com.ar/17588-large_default/img.jpg; https://todomusica.com.ar/17589-large_default/img.jpg; https://todomusica.com.ar/17590-large_default/img.jpg; https://todomusica.com.ar/17591-large_default/img.jpg;0;
5572;ZOOM;B2 FOUR;Pedalera | Para Bajo | 82 efectos | Efec simultaneos 6 | USB MIDI | USB Micro-B | Loopera | Compatible Soft Guitar Lab Zoom;Pedales, Pedaleras;>10;392003.93;0.105;0;0.45;628088.299;;https://todomusica.com.ar/28592-large_default/img.jpg; https://todomusica.com.ar/28593-large_default/img.jpg; https://todomusica.com.ar/28594-large_default/img.jpg; https://todomusica.com.ar/28595-large_default/img.jpg;0;
