OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO
5557;MAONO;ADX35;Cable con Adaptador de Mini Plug Macho a  XLR  Macho ;Cables y Mangueras de Sonido;<10;6887.17;0.105;0;0.45;11034.972;;https://todomusica.com.ar/29268-large_default/img.jpg;;;;;
5557;MAONO;AU-AM100;Mixer Podcast AM100 | 2 canales | XLR -PLUG | USB-C | Entrada celular  | Preamplificador de alta calidad | Sound FX |  Grabar y transmitir en vivo | Aplicación Intuitiva;"Consolas; Mixers y Potencias";>10;337471.21;0.105;0;0.45;540713.241;0.2;https://todomusica.com.ar/23038-large_default/img.jpg; https://todomusica.com.ar/23039-large_default/img.jpg; https://todomusica.com.ar/23040-large_default/img.jpg; https://todomusica.com.ar/23041-large_default/img.jpg;;
5557;MAONO;AU-AM200;Mixer Podcast AM200 | 2 canales | Minipug | USB-C | 3 salidas miniplug celular | Salida miniplug parlante | Preamplificador de alta calidad | Sound FX |  Grabar y transmitir en vivo | Aplicación Intuitiva;"Consolas; Mixers y Potencias";>10;128445.67;0.105;0;0.45;205802.073;;https://todomusica.com.ar/23042-large_default/img.jpg; https://todomusica.com.ar/23043-large_default/img.jpg; https://todomusica.com.ar/23050-large_default/img.jpg; https://todomusica.com.ar/23051-large_default/img.jpg; https://todomusica.com.ar/23052-large_default/img.jpg;
5557;MAONO;AU-AM200S1;Kit Podcast AM200S1 | Mixer AM200 + Microfono Condenser PM360 + Tripode de mesa + Auriculares In Ear;"Consolas; Mixers y Potencias";INGRESANDO!;160126.64;0.105;0;0.45;256562.911;;https://todomusica.com.ar/23053-large_default/img.jpg; https://todomusica.com.ar/23054-large_default/img.jpg; https://todomusica.com.ar/23055-large_default/img.jpg; https://todomusica.com.ar/23057-large_default/img.jpg; https://todomusica.com.ar/23058-large_default/img.jpg;
5557;MAONO;AU-C01;"*D | Amplificador vocal personal  |  Microfono headset |  5 Watts  |   Radio Fm | Reproductor de tarjetas TF | Batería recargable | Para Aulas; conferencias; Guias turisticos";"Consolas; Mixers y Potencias";>10;48210.17;0.21;0.2346;0.45;100984.402;;https://todomusica.com.ar/28974-large_default/img.jpg; https://todomusica.com.ar/28975-large_default/img.jpg;;;;
5557;MAONO;AU-GM10;"Microfono GM10 | Cuello de ganso | Condenser | Cardioide  3;5 Auriculares | Mute + Volumen | Mac y Windows  | USB 1;75m |Negro";Microfonos;>10;55097.34;0.21;0;0.45;96668.279;;https://todomusica.com.ar/23077-large_default/img.jpg; https://todomusica.com.ar/23078-large_default/img.jpg; https://todomusica.com.ar/23079-large_default/img.jpg; https://todomusica.com.ar/23080-large_default/img.jpg; https://todomusica.com.ar/23081-large_default/img.jpg;
5557;MAONO;AU-HD300T;"Kit HD300T |Microfono Dinamico Cardioide | USB y XLR | Gain y Mute |  Salida de auriculares  |  Soporte p/mesa + Cables XLR-XLR  + Cable USB | Negro 
";Microfonos;>10;102618.8;0.21;0;0.45;180044.685;;https://todomusica.com.ar/28382-large_default/img.jpg; https://todomusica.com.ar/28383-large_default/img.jpg;;;;
5557;MAONO;AU-MIS22;Cabina de Grabacion Portatil|Panel  acustico para microfono | Absobente de reflexiones para podcast y grabaciones | plegable |  50cm x 30cm x 5cm | Rosca para soporte AU-B01 | Reja metalica | Negro;Accesorios de Sonido;>10;77480.63;0.21;0;0.45;135939.761;;https://todomusica.com.ar/23082-large_default/img.jpg; https://todomusica.com.ar/23083-large_default/img.jpg;;;;
5557;MAONO;AU-MIS50;*D | Cabina de Grabacion Portatil|Panel  acustico para microfono | Absobente de reflexiones para podcast y grabaciones | plegable |  50cm x 30cm x 5cm | Rosca p/soporte AU-B01 | Reja metalica | Negro;Accesorios de Sonido;>10;70593.46;0.21;0;0.45;123856.229;0.2;https://todomusica.com.ar/23158-large_default/img.jpg; https://todomusica.com.ar/23165-large_default/img.jpg; https://todomusica.com.ar/23168-large_default/img.jpg;;;
5557;MAONO;AU-PF150;Pantalla Antipop doble capa | Para mic Condenser | Redondo | Soporte cuello de ganso | 35cm | Negro;Accesorios de Sonido;>10;8608.96;0.21;0;0.45;15104.418;;https://todomusica.com.ar/23084-large_default/img.jpg; https://todomusica.com.ar/23085-large_default/img.jpg; https://todomusica.com.ar/23086-large_default/img.jpg; https://todomusica.com.ar/23087-large_default/img.jpg;;
5557;MAONO;AU-PF150X;POP FILTER | Red de nailon doble | brazo de cuello de cisne flexible de 360 °  | ajusta a soporte vs | ;Accesorios de Sonido;INGRESANDO!;8264.6;0.21;0;0.45;14500.241;;https://todomusica.com.ar/31489-large_default/img.jpg;;;;;
5557;MAONO;AU-PM320S;"Kit Broadcast PM320 | Microfono Condenser Cardioide XLR + Soporte p/radio B01 +  Filtro antipop + Windscreen + Cable XLR-XLR 2;5m | Negro";Microfonos;INGRESANDO!;102618.8;0.21;0;0.45;180044.685;;https://todomusica.com.ar/23088-large_default/img.jpg; https://todomusica.com.ar/23089-large_default/img.jpg; https://todomusica.com.ar/23090-large_default/img.jpg;;;
5557;MAONO;AU-PM360TR;"Microfono Condenser Cardioide XLR C/ Soporte tripode de mesa +  Windscreen + Cable XLR-mini plug 3;5m | Negro";Microfonos;INGRESANDO!;36157.63;0.21;0;0.45;63438.558;;https://todomusica.com.ar/23095-large_default/img.jpg; https://todomusica.com.ar/23098-large_default/img.jpg; https://todomusica.com.ar/23099-large_default/img.jpg; https://todomusica.com.ar/23100-large_default/img.jpg; https://todomusica.com.ar/23101-large_default/img.jpg;
5557;MAONO;AU-PM421;"Kit Radio PM421 | Microfono Condenser Cardioide USB; Gain y Mute + Soporte p/radio B01 +  Filtro antipop + Windscreen + cable USB | Negro";Microfonos;>10;111916.47;0.21;0;0.45;196357.445;;https://todomusica.com.ar/23102-large_default/img.jpg; https://todomusica.com.ar/23103-large_default/img.jpg; https://todomusica.com.ar/23104-large_default/img.jpg; https://todomusica.com.ar/23105-large_default/img.jpg; https://todomusica.com.ar/23106-large_default/img.jpg;
5557;MAONO;AU-PM461TR;"Microfono Condenser Cardioide; USB; Gain y Mute + Soporte tripode de mesa + cable USB 1;5m | Negro";Microfonos;INGRESANDO!;46488.38;0.21;0;0.45;81563.862;;https://todomusica.com.ar/23136-large_default/img.jpg; https://todomusica.com.ar/23137-large_default/img.jpg; https://todomusica.com.ar/23138-large_default/img.jpg; https://todomusica.com.ar/23139-large_default/img.jpg; https://todomusica.com.ar/23140-large_default/img.jpg;
5557;MAONO;AU-PM500;• Microfono Condenser Cardioide | Calidad estudio | 20Hz a 20kHz | XLR C/Shock Mount  +  Windscreen metálico + Cable XLR| Negro;Microfonos;>10;164947.66;0.21;0;0.45;289400.673;0.2;https://todomusica.com.ar/26657-large_default/img.jpg; https://todomusica.com.ar/26658-large_default/img.jpg; https://todomusica.com.ar/26659-large_default/img.jpg;;;
5557;MAONO;AU-UL10;Microfono | Lavalier | Condenser | Omnidireccional | USB | 192KHz - 24bit | Plug n Play | Cable 2m | Negro;Microfonos;>10;28926.1;0.21;0;0.45;50750.836;;https://todomusica.com.ar/23108-large_default/img.jpg; https://todomusica.com.ar/23109-large_default/img.jpg; https://todomusica.com.ar/23110-large_default/img.jpg; https://todomusica.com.ar/23111-large_default/img.jpg;;
5557;MAONO;AU-WM730;Microfono inalámbrico p/ Camara de video | UHF | 48 canales | Pantalla LCD | Salida Auriculares para monitoreo | Maletin | Acc. para Montaje en cámara;Microfonos;<10;206615.03;0.21;0;0.45;362506.066;0.2;https://todomusica.com.ar/23586-large_default/img.jpg;;;;;
5557;MAONO;AU-100;"Microfono | Lavalier | Condenser | Omnidireccional | Miniplug  TRRS 3.5mm| p/ Celular; Tablet; PC; DSLR Cam; Grabadores | Cable 5;6m | Funda y adaptador Plug 6;5 | Windscreen | Negro";Microfonos;>10;23416.37;0.21;0;0.45;41084.025;;https://todomusica.com.ar/23112-large_default/img.jpg; https://todomusica.com.ar/23113-large_default/img.jpg; https://todomusica.com.ar/23114-large_default/img.jpg; https://todomusica.com.ar/23115-large_default/img.jpg;;
5557;MAONO;AU-103;• D - Micrófono | Lavalier |Condenser Electret Omnidireccional | p/ Smartphone y cámara | Conector Miniplug TRRS 3.5mm | Pad -10dB | Filtro pasa bajos | Salida de auriculares | Cable 6m | Negro;Microfonos;>10;40978.64;0.21;0;0.45;71897.026;;https://todomusica.com.ar/23116-large_default/img.jpg;;;;;
5557;MAONO;AU-402L;* D | Micrófono | Lavalier | Condenser Electret Omnidireccional | p/ Smartphone | Conector Miniplug TRRS 3.5mm | Cable 2mts  | Negro;Microfonos;>10;9986.39;0.21;0;0.45;17521.127;;https://todomusica.com.ar/23117-large_default/img.jpg; https://todomusica.com.ar/23118-large_default/img.jpg;;;;
